date, pm25, pm10, o3, no2, so2, co
2025/3/1, 57, 29, 14, 4, 7, 3
2025/3/2, 38, 43, 16, 6, 9, 3
2025/3/3, 59, 68, 19, 7, 7, 5
2025/3/4, 103, 70, 24, 5, 6, 7
2025/3/5, 99, 95, 26, 6, 3, 5
2025/3/6, 123, 86, 28, 6, 4, 5
2025/3/7, 123, 68, 26, 3, 4, 4
2025/3/8, 94, 54, 18, 3, 6, 5
2025/3/9, 73, 64, 23, 3, 6, 6
2025/3/10, 99, 54, 16, 4, 6, 3
2025/3/11, 73, 39, 17, 3, 7, 5
2025/3/12, 45, 37, 20, 3, 8, 4
2025/3/13, 46, 37, 17, 2, 7, 3
2025/3/14, 41, 27, 11, 3, 6, 3
2025/3/15, 20, 21, 12, 3, 6, 3
2025/3/16, 17, 23, 3, 3, 5, 5
2025/3/17, 7, , , , , 
2025/2/1, 55, 38, 17, 5, 7, 5
2025/2/2, 58, 41, 19, 5, 8, 5
2025/2/3, 48, 61, 24, 6, 8, 3
2025/2/4, 81, 75, 25, 6, 5, 4
2025/2/5, 126, 59, 17, 5, 6, 3
2025/2/6, 98, 64, 18, 6, 6, 3
2025/2/7, 106, 67, 22, 6, 7, 3
2025/2/8, 108, 62, 18, 4, 7, 3
2025/2/9, 121, 71, 19, 4, 6, 3
2025/2/10, 143, 72, 19, 4, 7, 4
2025/2/11, 137, 56, 18, 4, 6, 3
2025/2/12, 91, 43, 20, 5, 7, 3
2025/2/13, 67, 43, 8, 3, 5, 3
2025/2/14, 72, 72, 13, 7, 11, 1
2025/2/15, 109, 52, 19, 4, 5, 3
2025/2/16, 71, 52, 16, 3, 7, 3
2025/2/17, 85, 66, 15, 5, 7, 5
2025/2/18, 108, 57, 16, 4, 7, 4
2025/2/19, 93, 58, 5, 3, 5, 3
2025/2/20, 75, 56, 14, 5, 7, 3
2025/2/21, 76, 60, 15, 4, 7, 3
2025/2/22, 72, 48, 17, 3, 7, 2
2025/2/23, 56, 51, 16, 4, 7, 4
2025/2/24, 64, 56, 15, 3, 6, 3
2025/2/25, 83, 59, 20, 3, 7, 4
2025/2/26, 88, 64, 23, 3, 7, 3
2025/2/27, 95, 68, 22, 5, 7, 3
2025/2/28, 106, 43, 14, 4, 6, 3
2025/1/1, 168, 89, 19, 6, 4, 7
2025/1/2, 156, 82, 26, 7, 8, 7
2025/1/3, 149, 89, 29, 5, 8, 9
2025/1/4, 158, 82, 25, 4, 8, 7
2025/1/5, 150, 84, 27, 6, 7, 7
2025/1/6, 150, 115, 24, 6, 11, 8
2025/1/7, 160, 91, 22, 5, 7, 7
2025/1/8, 146, 85, 27, 6, 7, 4
2025/1/9, 153, 80, 24, 3, 5, 5
2025/1/10, 147, 66, 23, 3, 4, 5
2025/1/11, 126, 67, 24, 3, 7, 8
2025/1/12, 122, 60, 22, 3, 8, 5
2025/1/13, 100, 35, 20, 1, 6, 8
2025/1/14, 52, 41, 23, 2, 5, 8
2025/1/15, 66, 79, 23, 3, 4, 9
2025/1/16, 154, 84, 25, 4, 6, 5
2025/1/17, 161, 69, 24, 4, 5, 5
2025/1/18, 127, 87, 23, 9, 11, 7
2025/1/19, 135, 77, 26, 5, 7, 7
2025/1/20, 136, 76, 30, 5, 8, 8
2025/1/21, 124, 67, 30, 5, 7, 6
2025/1/22, 125, 65, 21, 5, 6, 6
2025/1/23, 119, 45, 20, 5, 6, 9
2025/1/24, 71, 35, 22, 5, 8, 8
2025/1/25, 46, 54, 20, 6, 7, 6
2025/1/26, 71, 38, 24, 4, 9, 7
2025/1/27, 52, 59, 23, 3, 9, 6
2025/1/28, 99, 69, 20, 4, 4, 5
2025/1/29, 127, 61, 23, 5, 6, 6
2025/1/30, 111, 52, 18, 6, 7, 5
2025/1/31, 74, 41, 17, 5, 7, 5
2024/10/1, 46, 24, 13, 3, 9, 4
2024/10/2, 39, 36, 19, 7, 9, 5
2024/10/3, 49, 45, 28, 5, 10, 6
2024/10/4, 75, 68, 22, 4, 6, 7
2024/10/5, 112, 67, 20, 3, 8, 7
2024/10/6, 119, 53, 16, 3, 9, 5
2024/10/7, 89, 43, 13, 3, 9, 7
2024/10/8, 73, 24, 9, 3, 8, 6
2024/10/9, 39, 14, 7, 2, 8, 5
2024/10/10, 16, 9, 6, 3, 7, 6
2024/10/11, 21, 13, 5, 2, 5, 5
2024/10/12, 28, 16, 8, 2, 7, 9
2024/10/13, 29, 23, 7, 3, 8, 10
2024/10/14, 45, 20, 9, 3, 7, 7
2024/10/15, 41, 22, 11, 3, 7, 6
2024/10/16, 48, 17, 8, 3, 7, 7
2024/10/17, 30, 24, 8, 4, 8, 5
2024/10/18, 31, 24, 7, 4, 8, 9
2024/10/19, 29, 22, 7, 2, 9, 5
2024/10/20, 27, 27, 11, 3, 9, 5
2024/10/21, 44, 55, 15, 7, 9, 7
2024/10/22, 95, 69, 23, 13, 10, 6
2024/10/23, 119, 77, 27, 8, 9, 8
2024/10/24, 144, 81, 32, 10, 9, 7
2024/10/25, 152, 58, 20, 5, 9, 9
2024/10/26, 108, 53, 26, 4, 8, 8
2024/10/27, 80, 65, 29, 5, 9, 7
2024/10/28, 106, 75, 23, 5, 8, 8
2024/10/29, 139, 68, 20, 5, 8, 8
2024/10/30, 135, 62, 13, 4, 8, 8
2024/10/31, 110, 86, 14, 5, 8, 7
2024/11/1, 147, 62, 16, 4, 9, 8
2024/11/2, 118, 46, 12, 4, 9, 5
2024/11/3, 84, 61, 22, 5, 9, 7
2024/11/4, 103, 87, 26, 8, 9, 7
2024/11/5, 140, 92, 34, 7, 8, 7
2024/11/6, 152, 68, 20, 7, 8, 6
2024/11/7, 107, 44, 23, 5, 9, 5
2024/11/8, 65, 61, 25, 6, 9, 7
2024/11/9, 104, 76, 26, 8, 6, 7
2024/11/10, 141, 81, 26, 7, 9, 6
2024/11/11, 143, 51, 16, 6, 6, 7
2024/11/12, 86, 50, 19, 6, 9, 7
2024/11/13, 81, 59, 26, 9, 9, 9
2024/11/14, 107, 69, 28, 7, 8, 6
2024/11/15, 128, 90, 30, 6, 8, 8
2024/11/16, 161, 89, 35, 2, 9, 9
2024/11/17, 160, 89, 36, 5, 7, 7
2024/11/18, 161, 92, 30, 6, 9, 6
2024/11/19, 156, 78, 33, 4, 11, 5
2024/11/20, 146, 80, 33, 10, 9, 7
2024/11/21, 138, 81, 33, 8, 7, 10
2024/11/22, 150, 140, 26, 8, 7, 10
2024/11/23, 144, 74, 25, 7, 8, 7
2024/11/24, 145, 114, 18, 7, 12, 23
2024/11/25, 134, 86, 26, 5, 8, 11
2024/11/26, 163, 66, 25, 4, 9, 9
2024/11/27, 131, 73, 25, 6, 6, 9
2024/11/28, 121, 67, 23, 5, 8, 9
2024/11/29, 126, 35, 11, 3, 8, 9
2024/11/30, 75, 25, 11, 2, 8, 9
2024/12/1, 47, 24, 14, 2, 9, 9
2024/12/2, 47, 57, 17, 4, 9, 9
2024/12/3, 105, 44, 16, 4, 9, 8
2024/12/4, 80, 68, 22, 5, 9, 7
2024/12/5, 133, 55, 20, 4, 9, 9
2024/12/6, 99, 39, 18, 2, 5, 11
2024/12/7, 73, 51, 20, 3, 7, 6
2024/12/8, 87, 53, 25, 5, 8, 9
2024/12/9, 99, 65, 22, 6, 8, 11
2024/12/10, 115, 65, 29, 6, 9, 9
2024/12/11, 120, 83, 36, 6, 9, 7
2024/12/12, 159, 87, 35, 5, 9, 10
2024/12/13, 163, 99, 29, 7, 5, 9
2024/12/14, 158, 88, 29, 17, 5, 8
2024/12/15, 160, 97, 27, 20, 6, 9
2024/12/16, 164, 91, 18, 24, 5, 10
2024/12/17, 127, 63, 17, 19, 5, 7
2024/12/18, 79, 31, 11, 4, 4, 7
2024/12/19, 47, 30, 11, 4, 7, 7
2024/12/20, 58, 43, 10, 5, 8, 5
