date, pm25, pm10, o3, no2, so2, co
2025/3/1, 117, 53, 2, 8, 3, 6
2025/3/2, 91, 47, 2, 8, 4, 5
2025/3/3, 72, 55, 2, 8, 5, 5
2025/3/4, 93, 50, 2, 7, 4, 5
2025/3/5, 77, 68, 2, 10, 5, 5
2025/3/6, 106, 84, 2, 10, 5, 7
2025/3/7, 138, 68, 2, 8, 4, 6
2025/3/8, 109, 61, 2, 7, 4, 7
2025/3/9, 98, 68, 2, 9, 4, 4
2025/3/10, 114, 65, 2, 10, 5, 5
2025/3/11, 103, 57, 2, 9, 5, 7
2025/3/12, 97, 45, 2, 8, 4, 5
2025/3/13, 68, 34, 2, 4, 4, 3
2025/3/14, 55, 32, 2, 6, 4, 3
2025/3/15, 46, 36, 2, 6, 4, 4
2025/3/16, 57, 22, 2, 4, 4, 3
2025/3/17, 29, , , , , 
2025/2/1, 141, 65, 6, 13, , 7
2025/2/2, 118, 68, 6, 14, , 5
2025/2/3, 116, 76, 6, 15, 3, 9
2025/2/4, 127, 82, 2, 14, 4, 8
2025/2/5, 144, 74, 3, 13, 4, 7
2025/2/6, 137, 78, 2, 13, 4, 5
2025/2/7, 139, 78, 2, 11, 4, 6
2025/2/8, 147, 86, 2, 7, 4, 6
2025/2/9, 159, 95, 2, 10, 4, 7
2025/2/10, 164, 82, 2, 10, 4, 6
2025/2/11, 155, 73, 2, 10, 4, 5
2025/2/12, 131, 61, 2, 9, 4, 6
2025/2/13, 104, 58, 2, 11, 4, 16
2025/2/14, 100, 73, 1, 14, 4, 6
2025/2/15, 125, 59, 2, 9, 4, 4
2025/2/16, 98, 63, 2, 9, 4, 6
2025/2/17, 114, 64, 2, 7, 4, 5
2025/2/18, 121, 65, 3, 7, 4, 7
2025/2/19, 120, 61, 2, 9, 4, 5
2025/2/20, 105, 63, 2, 9, 4, 5
2025/2/21, 101, 71, 2, 11, 4, 6
2025/2/22, 119, 62, 2, 9, 3, 5
2025/2/23, 102, 72, 2, 9, 5, 5
2025/2/24, 121, 72, 2, 8, 4, 5
2025/2/25, 129, 70, 2, 10, 4, 6
2025/2/26, 127, 75, 1, 10, 5, 5
2025/2/27, 136, 81, 2, 11, 5, 6
2025/2/28, 147, 66, 2, 11, 4, 6
2025/1/1, 164, 93, 1, 7, 7, 6
2025/1/2, 163, 99, 1, 10, 8, 7
2025/1/3, 167, 107, 1, 11, 8, 7
2025/1/4, 172, 104, 1, 10, 5, 7
2025/1/5, 171, 106, 1, 8, 5, 8
2025/1/6, 172, 102, 1, 8, 5, 8
2025/1/7, 170, 97, 1, 9, 7, 6
2025/1/8, 165, 98, 1, 8, 9, 6
2025/1/9, 165, 93, 1, 8, 9, 6
2025/1/10, 163, 99, 1, 12, 3, 9
2025/1/11, 166, 89, 1, 7, 4, 7
2025/1/12, 159, 105, 2, 11, 7, 10
2025/1/13, 170, 65, 2, 6, 5, 7
2025/1/14, 124, 73, 1, 5, 5, 6
2025/1/15, 140, 97, 1, 6, 6, 7
2025/1/16, 169, 104, 1, 7, 10, 7
2025/1/17, 173, 86, 1, 8, 8, 6
2025/1/18, 153, 84, 1, 8, 7, 6
2025/1/19, 155, 89, 1, 9, 10, 7
2025/1/20, 159, 101, 1, 11, 16, 7
2025/1/21, 166, 104, 30, 10, 9, 6
2025/1/22, 169, 90, 37, 9, 4, 6
2025/1/23, 162, 83, 2, 9, 4, 6
2025/1/24, 154, 78, 2, 14, 4, 7
2025/1/25, 140, 77, 2, 13, 4, 6
2025/1/26, 132, 74, 1, 11, 5, 5
2025/1/27, 140, 72, 2, 10, 4, 5
2025/1/28, 142, 90, 1, 10, 5, 5
2025/1/29, 161, 88, 2, 12, 5, 7
2025/1/30, 160, 79, 2, 16, 4, 7
2025/1/31, 139, 80, 2, 22, 3, 11
2024/10/1, 32, 31, 5, 2, 4, 3
2024/10/2, 53, 43, 4, 3, 4, 2
2024/10/3, 71, 64, 5, 3, 4, 2
2024/10/4, 108, 67, 4, 3, 4, 2
2024/10/5, 101, 56, 4, 3, 4, 3
2024/10/6, 92, 53, 32, 3, 4, 3
2024/10/7, 93, 46, 3, 3, 4, 3
2024/10/8, 83, 33, 3, 3, 4, 3
2024/10/9, 55, 22, 3, 2, 4, 3
2024/10/10, 30, 21, 3, 2, 4, 5
2024/10/11, 21, 18, 3, 3, 4, 6
2024/10/12, 27, 20, 3, 5, 4, 4
2024/10/13, 30, 21, 3, 10, 4, 5
2024/10/14, 44, 23, 3, 5, 3, 9
2024/10/15, 38, 22, 3, 3, 3, 4
2024/10/16, 32, 16, 4, 4, 3, 4
2024/10/17, 24, 20, 4, 4, 3, 6
2024/10/18, 22, 25, 3, 4, 2, 4
2024/10/19, 29, 23, 3, 3, 3, 5
2024/10/20, 30, 21, 2, 4, 3, 4
2024/10/21, 37, 45, 2, 4, 6, 5
2024/10/22, 81, 58, 2, 4, 7, 6
2024/10/23, 104, 80, 2, 5, 9, 4
2024/10/24, 144, 79, 2, 7, 10, 6
2024/10/25, 141, 52, 2, 5, 6, 5
2024/10/26, 92, 47, 2, 5, 6, 5
2024/10/27, 78, 64, 2, 6, 6, 6
2024/10/28, 108, 68, 2, 5, 5, 5
2024/10/29, 123, 59, 3, 6, 5, 6
2024/10/30, 116, 68, 3, 8, 16, 6
2024/10/31, 174, 85, 2, 8, 10, 5
2024/11/1, 142, 72, 2, 8, 9, 5
2024/11/2, 140, 60, 2, 5, 7, 6
2024/11/3, 118, 69, 8, 7, 8, 5
2024/11/4, 124, 77, 10, 6, 9, 7
2024/11/5, 143, 68, 10, 6, 7, 4
2024/11/6, 128, 54, 8, 6, 4, 5
2024/11/7, 88, 49, 8, 6, 3, 5
2024/11/8, 74, 66, 9, 7, 1, 7
2024/11/9, 120, 70, 11, 6, , 6
2024/11/10, 132, 66, 10, 7, , 6
2024/11/11, 118, 53, 11, 7, , 4
2024/11/12, 83, 51, 11, 5, , 6
2024/11/13, 81, 68, 14, 7, , 5
2024/11/14, 116, 78, 15, 7, , 5
2024/11/15, 143, 98, 16, 6, , 8
2024/11/16, 166, 90, 18, 6, , 7
2024/11/17, 159, 88, 18, 8, , 6
2024/11/18, 158, 81, 15, 9, , 6
2024/11/19, 146, 79, 18, 8, , 5
2024/11/20, 147, 89, 18, 10, , 8
2024/11/21, 155, 90, 16, 9, , 7
2024/11/22, 156, 82, 16, 9, , 6
2024/11/23, 152, 84, 18, 8, , 6
2024/11/24, 150, 88, 18, 8, , 7
2024/11/25, 155, 94, 25, 8, 1, 6
2024/11/26, 160, 89, 23, 9, , 6
2024/11/27, 153, 75, 20, 8, , 5
2024/11/28, 141, 71, 16, 8, , 6
2024/11/29, 127, 29, 12, 4, , 4
2024/11/30, 48, 22, 12, 4, , 4
2024/12/1, 43, 20, 13, 4, 2, 4
2024/12/2, 32, 55, 2, 6, 2, 5
2024/12/3, 94, 70, 2, 7, 2, 7
2024/12/4, 130, 78, 2, 8, 3, 6
2024/12/5, 144, 71, 2, 9, 2, 6
2024/12/6, 132, 53, 2, 8, 2, 6
2024/12/7, 89, 56, 2, 8, 4, 6
2024/12/8, 101, 68, 2, 9, 5, 7
2024/12/9, 117, 75, 2, 8, 5, 6
2024/12/10, 131, 81, 2, 8, 6, 7
2024/12/11, 147, 97, 1, 8, 8, 8
2024/12/12, 165, 112, 2, 11, 10, 8
2024/12/13, 174, 98, 1, 12, 11, 7
2024/12/14, 164, 101, 1, 10, 11, 8
2024/12/15, 166, 107, 1, 12, 11, 7
2024/12/16, 169, 91, 2, 12, 9, 7
2024/12/17, 154, 74, 2, 10, 5, 9
2024/12/18, 130, 43, 2, 6, 3, 7
2024/12/19, 76, 26, 2, 6, 3, 5
2024/12/20, 39, 28, 2, 7, 4, 5
2024/12/21, 32, 34, 2, 7, 5, 4
2024/12/22, 45, 45, 2, 8, 6, 5
2024/12/23, 66, 34, 2, 6, 3, 5
2024/12/24, 65, 36, 2, 6, 2, 5
2024/12/25, 69, 42, 2, 7, 5, 5
2024/12/26, 65, 73, 1, 9, 9, 5
2024/12/27, 134, 75, 2, 9, 7, 5
2024/12/28, 143, 72, 2, 9, 5, 5
2024/12/29, 137, , , , , 
2024/7/1, 48, 41, 19, 6, 4, 8
2024/7/2, 53, 33, 20, 5, 4, 5
2024/7/3, 46, 41, 21, 4, 4, 7
2024/7/4, 54, 26, 18, 2, 4, 5
2024/7/5, 45, 27, 14, 6, 4, 7
2024/7/6, 48, 25, 14, 6, 4, 5
2024/7/7, 43, 34, 16, 7, 4, 8
2024/7/8, 55, 32, 14, 6, 4, 6
2024/7/9, 55, , , , , 
2024/7/11, 67, 39, 2, 6, 4, 9
2024/7/12, 59, 28, 2, 6, 4, 9
2024/7/13, 55, 20, 4, 11, 4, 6
2024/7/14, 38, 21, 2, 21, 4, 4
2024/7/15, 28, 30, 2, 14, 4, 6
2024/7/16, 50, 29, 2, 10, 4, 7
2024/7/17, 57, 23, 4, 13, 4, 7
2024/7/18, 41, 8, 1, 1, 4, 7
2024/7/19, 20, 8, 2, 1, 4, 6
2024/7/20, 14, 20, 2, 2, 4, 6
2024/7/21, 34, 15, 2, 1, 4, 7
2024/7/22, 23, 26, 2, 1, 4, 2
2024/7/23, 42, 22, 2, 2, 4, 7
2024/7/24, 35, 35, 2, 2, 4, 5
2024/7/25, 53, 29, 2, 2, 4, 8
2024/7/26, 52, 21, 2, 2, 4, 5
2024/7/27, 46, 25, 2, 2, 4, 6
2024/7/28, 48, 30, 2, 2, 4, 8
2024/7/29, 50, 29, 2, 2, 4, 7
2024/7/30, 52, 31, 2, 2, 4, 7
2024/7/31, 56, 25, 2, 2, 4, 6
2024/8/1, 44, 27, 2, 3, 4, 7
2024/8/2, 47, 28, 2, 4, 4, 7
2024/8/3, 48, 33, 2, 3, 4, 6
2024/8/4, 49, 39, 2, 3, 4, 6
2024/8/5, 61, 17, 3, 2, 4, 6
2024/8/6, 38, 14, 3, 3, 4, 5
2024/8/7, 34, 23, 3, 3, 4, 7
2024/8/8, 52, 46, 4, 4, 4, 7
2024/8/9, 71, 36, 6, 4, 4, 8
2024/8/10, 58, 35, 11, 3, 4, 7
2024/8/11, 60, 40, 14, 5, 4, 8
2024/8/12, 70, 36, 16, 4, 4, 7
2024/8/13, 65, 34, 16, 4, 4, 5
2024/8/14, 51, 17, 14, 4, 4, 8
2024/8/15, 21, 15, 11, 4, 4, 7
2024/8/16, 22, 22, 11, 4, 4, 6
2024/8/17, 29, 19, 9, 4, 4, 6
2024/8/18, 28, 21, 8, 5, 4, 7
2024/8/19, 33, 21, 13, 5, 4, 6
2024/8/20, 38, 22, 8, 3, 4, 6
2024/8/21, 40, 23, 7, 4, 4, 9
2024/8/22, 44, 21, 4, 4, 4, 9
2024/8/23, 44, 33, 6, 3, 4, 7
2024/8/24, 59, 29, 6, 3, 4, 7
2024/8/25, 47, 30, 5, 3, 4, 5
2024/8/26, 41, 34, 5, 4, 4, 7
2024/8/27, 49, 30, 5, 3, 4, 7
2024/8/28, 41, 36, 5, 3, 4, 6
2024/8/29, 60, 26, 4, 3, 4, 6
2024/8/30, 57, 12, 6, 2, 4, 6
2024/8/31, 34, 8, 5, 2, 4, 6
2024/9/1, 22, 25, 5, 2, 4, 5
2024/9/2, 46, 25, 2, 1, 4, 8
2024/9/3, 45, 20, 2, 9, 4, 6
2024/9/4, 35, 31, 2, 3, 3, 5
2024/9/5, 53, 43, 2, 3, 4, 6
2024/9/6, 65, 21, 2, 2, 4, 6
2024/9/7, 39, 11, 2, 1, 4, 6
2024/9/8, 22, 17, 2, 1, 4, 6
2024/9/9, 38, 36, 2, 2, 4, 5
2024/9/10, 53, 34, 2, 2, 4, 6
2024/9/11, 45, 44, 2, 3, 4, 7
2024/9/12, 56, 48, 2, 3, 4, 5
2024/9/13, 66, 61, 2, 3, 4, 8
2024/9/14, 80, 56, 4, 2, 4, 8
2024/9/15, 73, 52, 2, 2, 4, 6
2024/9/16, 74, 57, 73, 2, 4, 7
2024/9/17, 82, 66, 33, 3, 4, 7
2024/9/18, 98, 62, 4, 3, 5, 7
2024/9/19, 97, 49, 5, 4, 3, 8
2024/9/20, 83, 35, 4, 2, 3, 7
2024/9/21, 65, 29, 4, 2, 4, 7
2024/9/22, 58, 41, 4, 3, 4, 7
2024/9/23, 75, 26, 5, 3, 4, 7
2024/9/24, 56, 23, 13, 3, 4, 10
2024/9/25, 48, 30, 4, 2, 4, 7
2024/9/26, 56, 30, 5, 3, 3, 8
2024/9/27, 58, 22, 6, 2, 4, 3
2024/9/28, 53, 19, 4, 3, 4, 3
2024/9/29, 35, 15, 5, 2, 7, 2
2024/9/30, 26, 21, 6, 2, 4, 2
2024/4/1, 47, , , , , 
2024/4/3, 47, 18, 8, 2, 4, 4
2024/4/4, 21, 38, 13, 5, 4, 4
2024/4/5, 34, , , , , 
2024/4/7, 62, 37, 11, 4, 4, 4
2024/4/8, 69, 54, 14, 5, 4, 3
2024/4/9, 89, 69, 15, 13, 3, 6
2024/4/10, 152, 78, 17, 8, 4, 4
2024/4/11, 131, , , , , 
2024/4/13, 106, 57, 15, 7, 4, 5
2024/4/14, 100, 51, 13, 5, 4, 5
2024/4/15, 90, 49, 15, 5, 4, 5
2024/4/16, 87, 51, 14, 5, 7, 5
2024/4/17, 87, 38, 9, 5, 4, 5
2024/4/18, 67, 35, 7, 26, 3, 4
2024/4/19, 57, 17, 8, , 4, 2
2024/4/20, 41, 34, 10, 1, 4, 4
2024/4/21, 49, 35, 10, 3, 4, 4
2024/4/22, 46, 39, 12, 3, 4, 4
2024/4/23, 61, 37, 9, 2, 4, 4
2024/4/24, 44, 41, 18, 17, 4, 4
2024/4/25, 51, , , , , 
2024/4/27, 77, 39, 7, 1, 4, 4
2024/4/28, 59, 22, 6, 1, 4, 4
2024/4/29, 19, 23, 6, 1, 4, 5
2024/4/30, 21, 15, 6, 1, 4, 4
2024/5/1, 17, , , , , 
2024/5/4, 64, 28, 19, 3, 4, 3
2024/5/5, 34, 37, 19, 6, 4, 3
2024/5/6, 49, 36, 29, 13, 4, 7
2024/5/7, 41, 35, 23, 10, 4, 4
2024/5/8, 60, 23, 17, 5, 4, 2
2024/5/9, 34, 26, 18, 7, 4, 4
2024/5/10, 39, 18, 17, 5, 4, 3
2024/5/11, 29, , , , , 
2024/5/13, 50, 42, 25, 8, 4, 5
2024/5/14, 74, 61, 13, 9, 5, 5
2024/5/15, 97, 16, 15, 4, 5, 9
2024/5/16, 59, 25, 17, 8, 4, 3
2024/5/17, 37, 24, 11, 8, 4, 4
2024/5/18, 37, 15, 12, 7, 4, 4
2024/5/19, 26, 23, 10, 8, 4, 6
2024/5/20, 36, 30, 15, 7, 5, 4
2024/5/21, 59, 27, 14, 6, 11, 3
2024/5/22, 42, 35, 19, 6, 4, 3
2024/5/23, 55, 36, 19, 7, 4, 4
2024/5/24, 59, 55, 19, 11, 4, 5
2024/5/25, 71, 58, 28, 8, 4, 5
2024/5/26, 66, 68, 29, 8, 4, 4
2024/5/27, 152, 67, 28, 6, 5, 4
2024/5/28, 103, 72, 21, 7, 4, 5
2024/5/29, 103, 65, 26, 5, 3, 9
2024/5/30, 100, 64, 59, 4, 4, 3
2024/5/31, 101, 49, 36, 11, 3, 6
2024/6/1, 77, 51, 45, 5, 4, 
2024/6/2, 72, 52, 48, 7, 4, 4
2024/6/3, 102, 50, 33, 6, 4, 5
2024/6/4, 102, 50, 84, 5, 4, 4
2024/6/5, 102, 22, 161, 4, 4, 4
2024/6/6, 45, 33, 16, 4, 4, 4
2024/6/7, 60, 29, 18, 8, 4, 5
2024/6/8, 48, 38, 12, 6, 4, 4
2024/6/9, 47, 30, 18, 4, 4, 6
2024/6/10, 56, 40, 24, 4, 4, 7
2024/6/11, 72, 42, 22, 6, 4, 8
2024/6/12, 71, 45, 20, 5, 4, 7
2024/6/13, 76, 41, 22, 5, 4, 7
2024/6/14, 64, 46, 23, 9, 4, 7
2024/6/15, 77, 36, 58, 5, 4, 8
2024/6/16, 66, 44, 30, 8, 4, 6
2024/6/17, 71, 41, 25, 3, 4, 4
2024/6/18, 75, 33, 27, 11, 4, 8
2024/6/19, 54, 40, 24, 3, 4, 4
2024/6/20, 58, 40, 27, 4, 4, 5
2024/6/21, 58, 29, 15, 5, 4, 7
2024/6/22, 53, 20, 19, 3, 4, 7
2024/6/23, 42, 43, 25, 4, 4, 4
2024/6/24, 70, 33, 22, 4, 4, 8
2024/6/25, 50, 34, 27, 5, 4, 7
2024/6/26, 53, 24, 21, 3, 4, 6
2024/6/27, 48, 30, 21, 3, 4, 5
2024/6/28, 43, 32, 20, 6, 4, 6
2024/6/29, 47, 23, 18, 5, 4, 8
2024/6/30, 42, 27, 17, 3, 3, 7
2024/1/1, 180, 108, 7, 8, 10, 7
2024/1/2, 185, 117, 8, 9, 14, 6
2024/1/3, 190, 107, 8, 9, 10, 8
2024/1/4, 180, 84, 9, 10, 9, 4
2024/1/5, 146, 73, 6, 12, 7, 6
2024/1/6, 149, 74, 7, 8, 7, 6
2024/1/7, 149, 97, 9, 10, 10, 7
2024/1/8, 173, 107, 8, 11, 9, 6
2024/1/9, 185, 118, 11, 13, 7, 10
2024/1/10, 186, 114, 9, 11, 7, 8
2024/1/11, 181, 126, 9, 14, 11, 14
2024/1/12, 192, 118, 3, 9, 10, 3
2024/1/13, 191, 117, 2, 13, 14, 2
2024/1/14, 201, 84, 3, 10, 8, 
2024/1/15, 167, 77, 2, 5, 8, 4
2024/1/16, 161, 66, 3, 7, 7, 3
2024/1/17, 141, 63, 2, 9, 7, 3
2024/1/18, 130, 54, 2, 9, 7, 2
2024/1/19, 96, 52, 2, 7, 6, 3
2024/1/20, 89, 59, 2, 10, 7, 1
2024/1/21, 124, 58, 2, 8, 7, 4
2024/1/22, 97, 63, 3, 7, 6, 1
2024/1/23, 122, 58, 2, 7, 6, 
2024/1/24, 108, , , , , 
2024/1/27, 161, 85, 2, 9, 9, 
2024/1/28, 164, 102, 2, 15, 11, 1
2024/1/29, 173, 95, 2, 11, 10, 3
2024/1/30, 170, 62, 2, 9, 8, 2
2024/1/31, 111, 59, 1, 8, 7, 2
2024/2/1, 115, 51, 2, 9, 7, 28
2024/2/2, 73, 59, 2, 12, 9, 2
2024/2/3, 111, 62, 2, 10, 7, 3
2024/2/4, 108, 63, 2, 8, 7, 2
2024/2/5, 116, 59, 2, 5, 4, 4
2024/2/6, 117, 71, 2, 6, 3, 1
2024/2/7, 150, 71, 2, 9, 3, 1
2024/2/8, 142, 65, 2, 7, 4, 2
2024/2/9, 119, 76, 10, 7, 4, 4
2024/2/10, 147, 80, 15, 7, 4, 5
2024/2/11, 153, 84, 17, 7, 4, 6
2024/2/12, 152, 73, 18, 9, 4, 2
2024/2/13, 147, 76, 15, 11, 4, 5
2024/2/14, 138, 73, 15, 12, 4, 5
2024/2/15, 133, 68, 14, 13, 4, 6
2024/2/16, 117, 79, 20, 12, 4, 5
2024/2/17, 141, 62, 11, 10, 4, 5
2024/2/18, 108, 61, 14, 8, 4, 5
2024/2/19, 116, 50, 13, 5, 4, 4
2024/2/20, 86, 61, 14, 7, 4, 5
2024/2/21, 106, 66, 15, 8, 4, 5
2024/2/22, 122, 66, 15, 8, 4, 5
2024/2/23, 118, , , , , 
